timestamp,sensor_id,value,unit
2025-06-02T00:19:50.919280,T1,21.075935125178603,°C
2025-06-02T00:19:52.961235,H1,56.17924321833378,%
2025-06-02T00:20:08.206281,L1,0,lux
2025-06-02T00:20:23.473365,P1,1016.8325430438201,hPa
2025-06-02T00:20:39.739102,T1,21.40028343736313,°C
2025-06-02T00:20:54.982237,H1,55.05794110094368,%
2025-06-02T00:21:10.219936,L1,0,lux
2025-06-02T00:21:25.492895,P1,1013.1268265601859,hPa
2025-06-02T00:21:41.751328,T1,19.786136410602804,°C
2025-06-02T00:21:57.019101,H1,62.93798066087477,%
2025-06-02T00:22:12.285665,L1,0,lux
2025-06-02T00:22:27.540068,P1,1014.5500069902583,hPa
2025-06-02T00:22:43.794806,T1,15.957448188729161,°C
2025-06-02T00:22:59.078009,H1,65.47138006169467,%
2025-06-02T00:23:14.324801,L1,0,lux
2025-06-02T00:23:29.558899,P1,1016.6627409655988,hPa
2025-06-02T00:23:45.806022,T1,16.157792653926442,°C
2025-06-02T00:24:01.053371,H1,56.6948361346135,%
2025-06-02T00:24:16.290305,L1,0,lux
2025-06-02T00:24:31.540016,P1,1017.850009188075,hPa
2025-06-02T00:24:47.786035,T1,22.81478736082355,°C
2025-06-02T00:25:03.032546,H1,60.03903481724578,%
2025-06-02T00:25:18.289024,L1,0,lux
2025-06-02T00:25:33.566036,P1,1016.9765415175679,hPa
2025-06-02T00:25:49.829751,T1,17.23305289573817,°C
2025-06-02T00:26:05.090248,H1,56.355887829008964,%
2025-06-02T00:26:20.328656,L1,0,lux
2025-06-02T00:26:35.573863,P1,1013.8903256491861,hPa
2025-06-02T21:43:17.059448,T1,13.958353278531415,°C
2025-06-02T21:43:32.274303,H1,60.4620976197708,%
2025-06-02T21:44:06.982788,T1,14.78391502461935,°C
